 [Setup] Initializing 2D Grid (v1.3.6 Scale Search)...
[Setup] Active Variables (Internal): 58x118 (6844)
[Main] Starting v1.3.6 Scale Search Simulation...

Iter  | Int. Res   | Lin. Res   | dt        | Strategy        | Alpha
--------------------------------------------------------------------------------
0     | 1.8197e+12 | 8.80e-03   | 1.00e-04  | [PTC STEP]      | 1.2e-01
1     | 1.5915e+12 | 7.61e-03   | 1.20e-04  | [PTC STEP]      | 2.5e-01
2     | 1.2451e+12 | 5.70e-03   | 1.44e-04  | [PTC STEP]      | 5.0e-01
3     | 7.4695e+11 | 2.55e-03   | 1.73e-04  | [PTC STEP]      | 1.0e+00
4     | 1.5919e+11 | 5.66e-03   | 2.07e-04  | [PTC STEP]      | 1.0e+00
5     | 4.4896e+10 | 6.60e-03   | 2.49e-04  | [PTC STEP]      | 1.0e+00
6     | 8.7443e+09 | 7.55e-04   | 2.99e-04  | [PTC STEP]      | 1.0e+00
7     | 6.1730e+08 | 9.69e-03   | 3.58e-04  | [PTC STEP]      | 1.0e+00
8     | 7.0897e+06 | 4.09e-03   | 4.30e-04  | [PTC STEP]      | 1.0e+00
9     | 2.8710e+04 | 7.62e-03   | 5.16e-04  | [PTC STEP]      | 1.0e+00
10    | 2.1996e+02 | 7.88e-03   | 6.19e-04  | [PTC STEP]      | 1.0e+00
11    | 1.7373e+00 | 4.46e-03   | 7.43e-04  | [PTC STEP]      | 1.0e+00
12    | 1.4297e-02 | 8.18e-05   | 8.92e-04  | [PTC STEP]      | 1.0e+00
13    | 1.9801e-03 | 2.09e-05   | 1.07e-03  | [PTC STEP]      | 1.0e+00
14    | 1.9602e-03 | 9.31e-06   | 1.28e-03  | [PTC STEP]      | 1.0e+00
15    | 1.9562e-03 | 4.85e-06   | 1.54e-03  | [PTC STEP]      | 5.0e-01
16    | 1.9463e-03 | 5.45e-06   | 1.85e-03  | [NOISE 8.5e-10] | 1.2e-01
17    | 1.9467e-03 | 4.16e-06   | 2.22e-03  | [NOISE 5.7e-10] | 2.5e-01
18    | 1.9470e-03 | 3.91e-06   | 2.66e-03  | [NOISE 8.4e-10] | 2.5e-01
19    | 1.9474e-03 | 3.46e-06   | 3.19e-03  | [NOISE 2.0e-11] | 2.5e-01
20    | 1.9474e-03 | 3.34e-06   | 3.83e-03  | [NOISE 1.7e-10] | 2.5e-01
21    | 1.9475e-03 | 3.44e-06   | 4.60e-03  | [NOISE 3.3e-11] | 2.5e-01
22    | 1.9475e-03 | 3.32e-06   | 5.52e-03  | [NOISE 1.3e-11] | 2.5e-01
23    | 1.9475e-03 | 3.44e-06   | 6.62e-03  | [NOISE 1.7e-11] | 2.5e-01
24    | 1.9476e-03 | 3.20e-06   | 7.95e-03  | [NOISE 4.3e-10] | 5.0e-01
25    | 1.9478e-03 | 2.40e-06   | 9.54e-03  | [PTC STEP]      | 5.0e-01
26    | 1.9445e-03 | 4.06e-06   | 1.14e-02  | [PTC STEP]      | 5.0e-01
27    | 1.9405e-03 | 3.33e-06   | 1.37e-02  | [NOISE 6.1e-11] | 1.2e-01
28    | 1.9405e-03 | 3.34e-06   | 1.65e-02  | [NOISE 1.8e-10] | 1.2e-01
29    | 1.9406e-03 | 3.03e-06   | 1.98e-02  | [NOISE 5.6e-11] | 1.2e-01
30    | 1.9406e-03 | 3.18e-06   | 2.37e-02  | [NOISE 7.5e-11] | 1.2e-01
31    | 1.9407e-03 | 3.02e-06   | 2.85e-02  | [NOISE 1.7e-11] | 1.2e-01
32    | 1.9407e-03 | 3.02e-06   | 3.42e-02  | [NOISE 6.8e-11] | 1.2e-01
33    | 1.9407e-03 | 3.07e-06   | 4.10e-02  | [NOISE 7.5e-11] | 1.2e-01
34    | 1.9407e-03 | 3.19e-06   | 4.92e-02  | [NOISE 7.2e-10] | 5.0e-01
35    | 1.9411e-03 | 2.74e-06   | 5.91e-02  | [NOISE 1.1e-11] | 1.2e-01
36    | 1.9411e-03 | 2.59e-06   | 7.09e-02  | [PTC STEP]      | 1.2e-01
37    | 1.9411e-03 | 2.58e-06   | 8.51e-02  | [NOISE 8.1e-11] | 1.2e-01
38    | 1.9412e-03 | 2.57e-06   | 1.02e-01  | [NOISE 5.4e-11] | 1.2e-01
39    | 1.9412e-03 | 2.57e-06   | 1.22e-01  | [NOISE 1.9e-11] | 1.2e-01
40    | 1.9412e-03 | 2.54e-06   | 1.47e-01  | [NOISE 2.1e-12] | 1.2e-01
41    | 1.9412e-03 | 2.55e-06   | 1.76e-01  | [NOISE 3.3e-11] | 1.2e-01
42    | 1.9412e-03 | 2.49e-06   | 2.12e-01  | [PTC STEP]      | 1.2e-01
43    | 1.9412e-03 | 2.55e-06   | 2.54e-01  | [PTC STEP]      | 1.2e-01
44    | 1.9412e-03 | 2.51e-06   | 3.05e-01  | [NOISE 6.3e-11] | 1.2e-01
45    | 1.9412e-03 | 2.57e-06   | 3.66e-01  | [PTC STEP]      | 1.2e-01
46    | 1.9412e-03 | 2.54e-06   | 4.39e-01  | [NOISE 1.9e-12] | 1.2e-01
47    | 1.9412e-03 | 2.53e-06   | 5.27e-01  | [NOISE 4.4e-11] | 1.2e-01
48    | 1.9412e-03 | 2.50e-06   | 6.32e-01  | [PTC STEP]      | 1.2e-01
49    | 1.9412e-03 | 2.59e-06   | 7.58e-01  | [NOISE 7.0e-11] | 1.2e-01

[Summary] Solver finished in 76.55s
[Main] Plotting results...
