
# === PROCESSING C1 ===

[Baseline] Start: Case=C1, Slot=5.0nm, Nh=3e+20, Trap=0e+00
bias,success,res0,res1,rel,iters,dt,status,gmres,time,t_lin,t_res,t_ls,d_phi,g_tol,g_max,g_rst
0.00,1,8.44e-12,8.44e-12,0.00e+00,0,0.0e+00,CONVERGED,0,1.14,0.00,0.00,0.00,0.00e+00,0.01,80,20
0.20,1,2.23e+02,1.54e-08,1.00e+00,4,0.0e+00,CONVERGED,0,15.69,14.83,0.00,0.86,1.12e-02,0.01,80,20
0.40,1,2.23e+02,1.22e-10,1.00e+00,4,0.0e+00,CONVERGED,0,9.48,9.47,0.00,0.00,8.03e-03,0.01,80,20
0.60,1,2.23e+02,7.99e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.24,5.23,0.00,0.00,6.22e-03,0.01,80,20
0.80,1,2.23e+02,1.91e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.55,6.54,0.00,0.00,5.06e-03,0.01,80,20
1.00,1,2.23e+02,5.78e-06,1.00e+00,3,0.0e+00,CONVERGED,0,5.21,5.20,0.00,0.00,4.26e-03,0.01,80,20
1.20,1,2.23e+02,2.06e-06,1.00e+00,3,0.0e+00,CONVERGED,0,6.66,6.65,0.00,0.00,3.68e-03,0.01,80,20
1.40,1,2.23e+02,8.38e-07,1.00e+00,3,0.0e+00,CONVERGED,0,5.19,5.18,0.00,0.00,3.23e-03,0.01,80,20
1.60,1,2.23e+02,3.76e-07,1.00e+00,3,0.0e+00,CONVERGED,0,5.42,5.41,0.00,0.00,2.88e-03,0.01,80,20
1.80,1,2.23e+02,1.83e-07,1.00e+00,3,0.0e+00,CONVERGED,0,6.31,6.30,0.00,0.00,2.60e-03,0.01,80,20
2.00,1,2.23e+02,9.48e-08,1.00e+00,3,0.0e+00,CONVERGED,0,5.19,5.19,0.00,0.00,2.37e-03,0.01,80,20

>>> Baseline SUCCEEDED (Case 1). Running A1 Relay from 0.0V to 1.0V...

[A1] Start: Case=C1, Slot=5.0nm, Nh=3e+20, Trap=0e+00
# RelaySnap: raw=0.0000, snapped=0.0000, step=0.2000, delta=0.0e+00
# A1_dt: max=10.0, growth_cap=2.0, shrink_noise=0.8
bias,success,res0,res1,rel,iters,dt,status,gmres,time,t_lin,t_res,t_ls,d_phi,g_tol,g_max,g_rst
0.00,1,8.44e-12,8.44e-12,0.00e+00,0,1.0e-03,CONV(0/0/0),0,0.00,0.00,0.00,0.00,0.00e+00,0.1,30,5
0.20,1,2.23e+02,9.86e-06,1.00e+00,7,1.7e-02,CONV(7/0/0),0,14.44,14.39,0.00,0.04,1.12e-02,0.01,80,20
0.40,1,2.23e+02,2.81e-05,1.00e+00,4,8.6e-02,CONV(4/0/0),0,8.21,8.20,0.00,0.00,8.03e-03,0.01,80,20
0.60,1,2.23e+02,3.46e-07,1.00e+00,4,4.4e-01,CONV(4/0/0),0,7.64,7.63,0.00,0.01,6.22e-03,0.01,80,20
0.80,1,2.23e+02,5.61e-05,1.00e+00,3,1.5e+00,CONV(3/0/0),0,5.61,5.60,0.00,0.00,5.06e-03,0.01,80,20
1.00,1,2.23e+02,1.13e-05,1.00e+00,3,5.0e+00,CONV(3/0/0),0,6.99,6.98,0.00,0.00,4.26e-03,0.01,80,20

# === PROCESSING C2 ===

[Baseline] Start: Case=C2, Slot=2.0nm, Nh=3e+20, Trap=0e+00
bias,success,res0,res1,rel,iters,dt,status,gmres,time,t_lin,t_res,t_ls,d_phi,g_tol,g_max,g_rst
0.00,1,2.24e+03,4.01e-06,1.00e+00,8,0.0e+00,CONVERGED,0,17.90,17.12,0.00,0.40,1.02e-01,0.01,80,20
0.20,1,2.23e+02,1.85e-06,1.00e+00,5,0.0e+00,CONVERGED,0,10.57,10.55,0.00,0.01,7.33e-02,0.01,80,20
0.40,1,2.23e+02,4.52e-05,1.00e+00,5,0.0e+00,CONVERGED,0,9.32,9.31,0.00,0.00,2.43e-02,0.01,80,20
0.60,1,2.23e+02,1.49e-06,1.00e+00,5,0.0e+00,CONVERGED,0,10.17,10.16,0.00,0.00,1.33e-02,0.01,80,20
0.80,1,2.23e+02,8.36e-05,1.00e+00,4,0.0e+00,CONVERGED,0,8.90,8.88,0.00,0.00,9.00e-03,0.01,80,20
1.00,1,2.23e+02,3.69e-05,1.00e+00,4,0.0e+00,CONVERGED,0,7.35,7.34,0.00,0.00,6.78e-03,0.01,80,20
1.20,1,2.23e+02,2.10e-05,1.00e+00,4,0.0e+00,CONVERGED,0,8.81,8.80,0.00,0.00,5.42e-03,0.01,80,20
1.40,1,2.23e+02,1.39e-05,1.00e+00,4,0.0e+00,CONVERGED,0,8.84,8.83,0.00,0.00,4.51e-03,0.01,80,20
1.60,1,2.23e+02,8.32e-06,1.00e+00,4,0.0e+00,CONVERGED,0,7.28,7.27,0.00,0.00,3.86e-03,0.01,80,20
1.80,1,2.23e+02,5.55e-06,1.00e+00,4,0.0e+00,CONVERGED,0,8.53,8.52,0.00,0.00,3.37e-03,0.01,80,20
2.00,1,2.23e+02,3.15e-06,1.00e+00,4,0.0e+00,CONVERGED,0,7.06,7.05,0.00,0.00,2.99e-03,0.01,80,20
2.20,1,2.23e+02,2.29e-06,1.00e+00,4,0.0e+00,CONVERGED,0,8.40,8.39,0.00,0.00,2.69e-03,0.01,80,20
2.40,1,2.23e+02,1.89e-06,1.00e+00,4,0.0e+00,CONVERGED,0,9.01,9.00,0.00,0.00,2.44e-03,0.01,80,20
2.60,1,2.23e+02,1.45e-06,1.00e+00,4,0.0e+00,CONVERGED,0,7.43,7.42,0.00,0.00,2.23e-03,0.01,80,20
2.80,1,2.23e+02,1.13e-06,1.00e+00,4,0.0e+00,CONVERGED,0,8.86,8.85,0.00,0.00,2.06e-03,0.01,80,20
3.00,1,2.23e+02,1.00e-06,1.00e+00,4,0.0e+00,CONVERGED,0,8.05,8.04,0.00,0.00,1.91e-03,0.01,80,20
3.20,1,2.23e+02,9.47e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.38,6.38,0.00,0.00,1.78e-03,0.01,80,20
3.40,1,2.23e+02,7.91e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.41,5.40,0.00,0.00,1.67e-03,0.01,80,20
3.60,1,2.23e+02,7.16e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.88,6.88,0.00,0.00,1.57e-03,0.01,80,20
3.80,1,2.23e+02,5.44e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.34,5.33,0.00,0.00,1.48e-03,0.01,80,20
4.00,1,2.23e+02,5.18e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.86,6.85,0.00,0.00,1.40e-03,0.01,80,20
4.20,1,2.23e+02,4.16e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.43,5.43,0.00,0.00,1.33e-03,0.01,80,20
4.40,1,2.23e+02,3.89e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.74,6.74,0.00,0.00,1.26e-03,0.01,80,20
4.60,1,2.23e+02,3.31e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.37,5.36,0.00,0.00,1.20e-03,0.01,80,20
4.80,1,2.23e+02,3.12e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.20,6.19,0.00,0.00,1.15e-03,0.01,80,20
5.00,1,2.23e+02,3.02e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.85,5.84,0.00,0.00,1.10e-03,0.01,80,20
5.20,1,2.23e+02,2.91e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.35,5.35,0.00,0.00,1.06e-03,0.01,80,20
5.40,1,2.23e+02,2.35e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.69,6.69,0.00,0.00,1.02e-03,0.01,80,20
5.60,1,2.23e+02,2.55e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.35,5.34,0.00,0.00,9.79e-04,0.01,80,20
5.80,1,2.23e+02,2.50e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.83,6.82,0.00,0.00,9.43e-04,0.01,80,20
6.00,1,2.23e+02,2.33e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.44,5.44,0.00,0.00,9.10e-04,0.01,80,20
6.20,1,2.23e+02,2.20e-05,1.00e+00,3,0.0e+00,CONVERGED,0,6.99,6.99,0.00,0.00,8.80e-04,0.01,80,20
6.40,1,2.23e+02,2.00e-05,1.00e+00,3,0.0e+00,CONVERGED,0,5.38,5.38,0.00,0.00,8.51e-04,0.01,80,20
